id,nhogar,miembro,comuna,dominio,edad,parentesco_jefe,situacion_conyugal,num_miembro_padre,num_miembro_madre,estado_ocupacional,cat_ocupacional,calidad_ingresos_lab,ingreso_total_lab,calidad_ingresos_no_lab,ingreso_total_no_lab,calidad_ingresos_totales,ingresos_totales,calidad_ingresos_familiares,ingresos_familiares,ingreso_per_capita_familiar,estado_educativo,sector_educativo,nivel_actual,nivel_max_educativo,años_escolaridad,lugar_nacimiento,afiliacion_salud,cantidad_hijos_nac_vivos,ingreso_total_lab_USD,ingreso_total_no_lab_USD,ingresos_totales_USD,ingresos_familiares_USD,ingreso_per_capita_familiar_USD,ingresos_totales_USD_cat,sexo_Mujer,sexo_Varon,hijos_nacidos_vivos_No,hijos_nacidos_vivos_Si,sist_de_salud_Sistema privado,sist_de_salud_Sistema público
3034,1,4,1,1,23,1,4,2,1,0,1,1,0,3,4000,3,4000,2,47000,11750,0,0,10,0,9,4,1,0,0.0,63.14127861089187,63.14127861089187,741.9100236779794,185.47750591949486,3,0,1,1,0,1,0
3035,1,1,4,0,53,2,0,No corresponde,No corresponde,2,2,3,50000,1,0,3,50000,2,50000,12500,1,1,1,0,10,0,4,0,789.2659826361484,0.0,789.2659826361484,789.2659826361484,197.3164956590371,2,0,1,1,0,0,1
3035,1,2,4,0,46,0,0,No corresponde,No corresponde,1,1,1,0,1,0,1,0,2,50000,12500,1,1,1,1,16,0,4,2,0.0,0.0,0.0,789.2659826361484,197.3164956590371,4,1,0,0,1,0,1
3035,1,3,4,0,12,1,2,1,2,1,1,1,0,1,0,1,0,2,50000,12500,0,0,5,4,6,0,4,0,0.0,0.0,0.0,789.2659826361484,197.3164956590371,4,0,1,1,0,0,1
3035,1,4,4,0,18,1,4,1,2,1,1,1,0,1,0,1,0,2,50000,12500,0,0,11,0,11,0,4,0,0.0,0.0,0.0,789.2659826361484,197.3164956590371,4,0,1,1,0,0,1
3036,1,1,7,0,53,2,0,No corresponde,No corresponde,2,4,3,22000,1,0,3,22000,1,96700,24175,1,1,1,3,12,0,1,0,347.27703235990526,0.0,347.27703235990526,1526.4404104183109,381.6101026045777,1,0,1,1,0,1,0
3036,1,2,7,0,53,0,0,No corresponde,No corresponde,1,1,1,0,3,20000,3,20000,1,96700,24175,1,1,1,5,15,0,1,2,0.0,315.70639305445934,315.70639305445934,1526.4404104183109,381.6101026045777,1,1,0,0,1,1,0
3036,1,3,7,0,27,1,4,No corresponde,No corresponde,2,0,3,12000,1,0,3,12000,1,96700,24175,0,0,13,1,14,0,2,0,189.42383583267562,0.0,189.42383583267562,1526.4404104183109,381.6101026045777,3,0,1,1,0,1,0
3036,1,4,7,0,22,1,4,1,2,2,0,2,42700,1,0,2,42700,1,96700,24175,0,0,13,1,13,0,1,0,674.0331491712707,0.0,674.0331491712707,1526.4404104183109,381.6101026045777,2,1,0,1,0,1,0
3037,1,1,15,0,53,2,6,No corresponde,No corresponde,0,1,3,5000,3,34000,3,39000,2,60100,20033,1,1,1,0,8,1,1,2,78.92659826361484,536.7008681925809,615.6274664561957,948.6977111286503,316.2273086029992,2,1,0,0,1,1,0
3037,1,2,15,0,22,1,4,Padre no vive en el hogar,1,1,1,1,0,3,3100,3,3100,2,60100,20033,0,0,13,1,12,0,4,0,0.0,48.934490923441196,48.934490923441196,948.6977111286503,316.2273086029992,3,0,1,1,0,0,1
3037,1,3,15,0,17,1,4,Padre no vive en el hogar,1,2,4,3,3000,3,15000,3,18000,2,60100,20033,0,0,11,0,10,0,1,0,47.355958958168905,236.7797947908445,284.1357537490134,948.6977111286503,316.2273086029992,1,1,0,1,0,1,0
3038,1,1,10,0,53,2,5,No corresponde,No corresponde,2,0,2,20000,1,0,2,20000,1,20000,10000,1,1,1,3,12,6,1,0,315.70639305445934,0.0,315.70639305445934,315.70639305445934,157.85319652722967,1,0,1,1,0,1,0
3038,1,2,10,0,55,0,5,No corresponde,No corresponde,0,1,1,0,1,0,1,0,1,20000,10000,1,1,1,3,12,6,1,4,0.0,0.0,0.0,315.70639305445934,157.85319652722967,4,1,0,0,1,1,0
3039,1,1,7,0,53,2,0,No corresponde,No corresponde,2,4,2,50000,1,0,2,50000,1,111600,27900,1,1,1,0,10,0,1,0,789.2659826361484,0.0,789.2659826361484,1761.6416732438831,440.4104183109708,2,0,1,1,0,1,0
3039,1,2,7,0,50,0,0,No corresponde,No corresponde,2,4,2,60000,1,0,2,60000,1,111600,27900,0,0,12,1,13,4,1,2,947.119179163378,0.0,947.119179163378,1761.6416732438831,440.4104183109708,2,1,0,0,1,1,0
3039,1,3,7,0,20,1,4,1,2,1,1,1,0,3,1600,3,1600,1,111600,27900,0,0,13,1,13,0,1,0,0.0,25.256511444356747,25.256511444356747,1761.6416732438831,440.4104183109708,3,0,1,1,0,1,0
3039,1,4,7,0,15,1,4,1,2,1,1,1,0,1,0,1,0,1,111600,27900,0,2,11,0,8,0,1,0,0.0,0.0,0.0,1761.6416732438831,440.4104183109708,4,0,1,1,0,1,0
3040,1,1,7,0,53,2,5,No corresponde,No corresponde,2,0,3,50000,1,0,3,50000,1,103000,25750,1,1,1,3,12,0,1,1,789.2659826361484,0.0,789.2659826361484,1625.8879242304656,406.4719810576164,2,1,0,0,1,1,0
